Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DDOG,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,TEAM,TMUS,TSLA,TTD,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL,ZM,ZS
2022-12-05,145.77000427246094,98.04000091552734,330.8299865722656,166.77999877929688,263.4599914550781,195.27000427246094,94.11000061035156,187.5399932861328,105.20999908447266,72.81999969482422,283.0,90.81999969482422,246.83999633789062,593.3800048828125,525.489990234375,68.29000091552734,290.2300109863281,2046.77001953125,28.59000015258789,165.50999450683594,89.80000305175781,386.4200134277344,35.130001068115234,484.7300109863281,32.69499969482422,116.69200134277344,49.16999816894531,81.58999633789062,31.280000686645508,454.7300109863281,60.31999969482422,69.52999877929688,147.82000732421875,115.5,130.00999450683594,43.81999969482422,326.30999755859375,41.06999969482422,140.57000732421875,50.130001068115234,51.13999938964844,,61.40999984741211,87.47000122070312,99.3550033569336,99.0,215.1999969482422,419.07000732421875,210.49000549316406,28.889999389648438,393.17999267578125,267.2200012207031,58.560001373291016,37.66999816894531,39.369998931884766,384.5799865722656,448.6300048828125,374.760009765625,161.6999969482422,75.91999816894531,67.05000305175781,876.9400024414062,121.3499984741211,50.84000015258789,173.58999633789062,42.33000183105469,248.05999755859375,53.70000076293945,310.9200134277344,164.72000122070312,166.5399932861328,287.7699890136719,70.5199966430664,840.3200073242188,168.4600067138672,122.58999633789062,68.78666687011719,84.70999908447266,182.32000732421875,72.82499694824219,122.43000030517578,749.5800170898438,116.5,103.0,120.45999908447266,6.150000095367432,328.489990234375,131.5850067138672,149.89999389648438,180.5500030517578,50.45500183105469,175.33999633789062,182.10000610351562,315.54998779296875,40.81999969482422,11.109999656677246,163.25,68.41999816894531,72.54000091552734,119.0
2022-12-06,141.9199981689453,91.9000015258789,327.3999938964844,165.3000030517578,257.04998779296875,191.80999755859375,94.20999908447266,183.25999450683594,103.7699966430664,69.4000015258789,281.69000244140625,87.9000015258789,241.7100067138672,586.8200073242188,521.75,67.80999755859375,288.5299987792969,2023.510009765625,28.18000030517578,162.16000366210938,89.80000305175781,366.94000244140625,34.4900016784668,477.1700134277344,31.96500015258789,112.98999786376953,48.2599983215332,80.33000183105469,30.729999542236328,449.57000732421875,59.04999923706055,67.33000183105469,144.5500030517578,115.08000183105469,126.76000213623047,42.7400016784668,304.45001220703125,41.7599983215332,137.52000427246094,49.709999084472656,50.630001068115234,,60.22999954223633,87.13999938964844,96.76000213623047,96.41999816894531,211.36000061035156,411.94000244140625,204.83999633789062,28.34000015258789,385.1600036621094,264.510009765625,58.529998779296875,37.599998474121094,39.25,380.17999267578125,438.9800109863281,366.3900146484375,158.8800048828125,74.52999877929688,66.91000366210938,852.0,113.73999786376953,50.53499984741211,169.6999969482422,40.75,243.77999877929688,53.2400016784668,303.1300048828125,158.19000244140625,161.13999938964844,284.010009765625,69.19000244140625,820.7999877929688,165.91000366210938,119.94999694824219,68.57333374023438,85.52999877929688,180.6999969482422,71.3499984741211,118.56999969482422,744.8099975585938,116.20999908447266,101.44000244140625,116.08000183105469,6.119999885559082,324.739990234375,123.2300033569336,148.30999755859375,175.3300018310547,47.189998626708984,173.17999267578125,181.25,310.0400085449219,40.40999984741211,10.569999694824219,159.89999389648438,68.58000183105469,70.87999725341797,115.3499984741211
2022-12-07,140.0,86.87999725341797,325.489990234375,165.00999450683594,257.3299865722656,191.8300018310547,96.2699966430664,184.66000366210938,104.13999938964844,69.27999877929688,281.80999755859375,87.4800033569336,240.22000122070312,590.6900024414062,516.0499877929688,68.37999725341797,287.1000061035156,1940.260009765625,27.709999084472656,159.72000122070312,90.58999633789062,368.04998779296875,34.2599983215332,478.8699951171875,31.454999923706055,110.33200073242188,48.060001373291016,79.80000305175781,30.860000610351562,450.739990234375,59.209999084472656,68.22000122070312,143.3300018310547,116.30999755859375,125.31999969482422,42.959999084472656,300.3399963378906,42.130001068115234,136.47000122070312,49.869998931884766,50.369998931884766,,59.77000045776367,87.37000274658203,95.0250015258789,94.72000122070312,212.00999450683594,413.20001220703125,206.35000610351562,28.149999618530273,385.3900146484375,265.1400146484375,56.880001068115234,37.65999984741211,39.36000061035156,378.44000244140625,439.6199951171875,369.9800109863281,157.10000610351562,74.41999816894531,67.4800033569336,845.02001953125,112.87999725341797,50.3650016784668,171.85000610351562,39.880001068115234,242.2100067138672,52.439998626708984,302.1000061035156,156.6699981689453,160.0,284.8999938964844,68.43000030517578,821.5,163.9600067138672,119.73999786376953,69.26667022705078,83.0999984741211,180.69000244140625,71.01000213623047,117.76000213623047,745.469970703125,115.1500015258789,101.05999755859375,117.08999633789062,6.099999904632568,321.260009765625,122.20999908447266,148.3300018310547,172.22000122070312,46.029998779296875,172.25,181.16000366210938,310.6499938964844,40.310001373291016,10.34000015258789,161.63999938964844,68.51000213623047,69.74099731445312,111.4749984741211
2022-12-08,141.10000610351562,91.75,324.3500061035156,165.9199981689453,258.20001220703125,192.6999969482422,96.3499984741211,186.0500030517578,106.5,69.0,283.739990234375,87.87999725341797,243.13999938964844,587.6599731445312,520.3800048828125,68.83000183105469,286.7200012207031,1948.6400146484375,27.8799991607666,161.36000061035156,90.93000030517578,371.0400085449219,34.380001068115234,473.5,31.44499969482422,111.75,48.619998931884766,80.25,31.020000457763672,452.0199890136719,58.95000076293945,68.58999633789062,142.7899932861328,119.16000366210938,125.2300033569336,43.2599983215332,315.07000732421875,41.56999969482422,132.47000122070312,50.34000015258789,51.16999816894531,,60.709999084472656,87.55999755859375,93.80000305175781,93.44999694824219,212.2100067138672,417.9700012207031,207.5,28.06999969482422,389.4599914550781,268.6300048828125,59.915000915527344,37.79999923706055,39.77000045776367,388.20001220703125,444.05999755859375,368.44000244140625,158.02000427246094,75.25,67.19999694824219,865.0399780273438,114.58999633789062,50.369998931884766,177.52000427246094,40.13999938964844,243.05999755859375,54.04999923706055,304.80999755859375,159.58999633789062,163.52999877929688,285.0,70.69000244140625,831.6500244140625,158.6699981689453,119.87000274658203,68.76000213623047,87.8499984741211,181.25999450683594,73.79000091552734,118.18000030517578,758.0800170898438,115.23999786376953,102.4000015258789,117.58000183105469,6.110000133514404,325.0,128.30999755859375,143.14999389648438,169.05999755859375,47.20000076293945,172.85000610351562,180.99000549316406,316.95001220703125,40.400001525878906,10.670000076293945,163.7100067138672,68.56999969482422,68.87999725341797,112.22000122070312
2022-12-09,140.89999389648438,93.23999786376953,328.5,167.89999389648438,256.95001220703125,193.83999633789062,96.3499984741211,188.47999572753906,107.0,68.5199966430664,278.3399963378906,88.62999725341797,240.8000030517578,596.4000244140625,541.0,69.41999816894531,285.1400146484375,1991.2900390625,27.06999969482422,162.1699981689453,89.69000244140625,369.7300109863281,34.79999923706055,470.5,31.520000457763672,112.94999694824219,48.439998626708984,80.62000274658203,31.329999923706055,452.0899963378906,57.560001373291016,73.23500061035156,141.60000610351562,116.01000213623047,124.18000030517578,43.310001373291016,312.5400085449219,41.40999984741211,129.49000549316406,50.849998474121094,51.880001068115234,,61.86000061035156,87.79000091552734,93.0199966430664,92.75,211.39999389648438,420.3900146484375,205.44000244140625,28.190000534057617,399.2799987792969,269.94000244140625,57.900001525878906,37.900001525878906,39.90999984741211,387.6000061035156,444.4200134277344,323.1499938964844,160.07000732421875,75.3499984741211,66.94000244140625,872.0599975585938,113.87000274658203,49.98500061035156,177.10000610351562,41.11000061035156,244.16000366210938,54.52000045776367,319.5199890136719,169.75,168.39999389648438,285.0,70.36000061035156,826.5800170898438,158.80999755859375,119.16999816894531,67.36000061035156,89.06999969482422,183.0500030517578,73.33999633789062,118.8499984741211,746.5700073242188,114.80000305175781,101.75,122.66000366210938,6.090000152587891,325.1400146484375,134.2100067138672,141.1999969482422,173.36000061035156,47.5,174.1199951171875,180.82000732421875,311.7900085449219,40.400001525878906,10.670000076293945,167.77999877929688,69.47000122070312,71.85399627685547,116.80000305175781
2022-12-12,141.05999755859375,93.48999786376953,332.6499938964844,167.74000549316406,256.8699951171875,193.13999938964844,96.36000061035156,188.39999389648438,105.63999938964844,67.52999877929688,272.6300048828125,87.87000274658203,241.85000610351562,595.7999877929688,542.239990234375,69.16999816894531,282.57000732421875,2015.0,27.3700008392334,163.75999450683594,89.06999969482422,374.5299987792969,35.45000076293945,480.6700134277344,31.709999084472656,114.4000015258789,48.369998931884766,80.41000366210938,31.40999984741211,452.3900146484375,57.779998779296875,74.36000061035156,141.11000061035156,115.16999816894531,123.47000122070312,43.09000015258789,312.54998779296875,41.18000030517578,129.6999969482422,51.0099983215332,52.29999923706055,,63.814998626708984,87.43000030517578,91.9000015258789,91.61000061035156,211.05999755859375,417.9100036621094,200.86000061035156,27.860000610351562,398.3299865722656,270.0,56.869998931884766,37.4900016784668,39.83000183105469,383.7099914550781,448.95001220703125,319.0,159.4600067138672,75.37000274658203,66.9000015258789,868.5,113.13999938964844,49.88999938964844,162.77999877929688,41.040000915527344,247.1699981689453,53.34000015258789,308.8500061035156,167.97000122070312,169.10000610351562,290.989990234375,68.91000366210938,824.1599731445312,157.8699951171875,119.51000213623047,67.23999786376953,85.52999877929688,182.36000061035156,72.80000305175781,116.05999755859375,728.0,114.2300033569336,100.81999969482422,124.83000183105469,6.050000190734863,325.0799865722656,136.17999267578125,141.0399932861328,167.52000427246094,47.22999954223633,172.91000366210938,178.88999938964844,311.1400146484375,40.2400016784668,10.960000038146973,169.52999877929688,69.97000122070312,70.11000061035156,117.62000274658203
2022-12-13,144.24000549316406,93.12000274658203,338.7900085449219,173.67999267578125,261.1000061035156,201.49000549316406,97.51000213623047,195.88999938964844,111.16000366210938,70.66000366210938,271.6199951171875,90.5199966430664,251.75,617.5700073242188,565.030029296875,69.37999725341797,288.1400146484375,2038.3199462890625,28.729999542236328,166.07000732421875,90.38999938964844,383.9800109863281,36.4900016784668,481.54998779296875,31.024999618530273,118.43000030517578,49.22999954223633,81.77999877929688,32.369998931884766,457.8900146484375,58.86000061035156,79.0,143.6199951171875,118.80999755859375,124.44999694824219,43.31999969482422,320.8599853515625,42.189998626708984,134.91000366210938,49.54999923706055,53.810001373291016,,65.28500366210938,87.94000244140625,95.37999725341797,95.02999877929688,213.13999938964844,433.1600036621094,207.83999633789062,28.3700008392334,422.2099914550781,276.8800048828125,57.11000061035156,37.459999084472656,39.95000076293945,403.55999755859375,470.0400085449219,321.5,162.22999572753906,76.37000274658203,67.06999969482422,867.2999877929688,118.63999938964844,49.89500045776367,184.02000427246094,42.33000183105469,253.07000732421875,54.650001525878906,317.20001220703125,177.11000061035156,171.2899932861328,302.2300109863281,70.43000030517578,815.719970703125,159.77000427246094,122.68000030517578,67.13999938964844,88.25,182.94000244140625,73.0999984741211,121.81999969482422,739.02001953125,116.13999938964844,100.98999786376953,130.63999938964844,6.139999866485596,336.260009765625,141.22999572753906,140.17999267578125,156.91000366210938,50.619998931884766,175.8699951171875,182.89999389648438,306.7699890136719,40.810001373291016,10.779999732971191,175.38999938964844,70.83999633789062,73.01000213623047,120.8499984741211
2022-12-14,141.16000366210938,91.20999908447266,335.0,170.11000061035156,258.67999267578125,199.0500030517578,97.9800033569336,193.52000427246094,108.55000305175781,68.31999969482422,267.2900085449219,89.87000274658203,252.75,609.9299926757812,567.72998046875,69.68000030517578,287.1499938964844,1988.010009765625,28.8799991607666,164.25,89.87999725341797,326.6400146484375,34.72999954223633,481.0400085449219,30.81999969482422,118.80000305175781,48.81999969482422,80.75,32.43000030517578,454.95001220703125,57.70000076293945,79.05000305175781,144.7100067138672,118.8499984741211,123.7699966430664,42.900001525878906,324.79998779296875,42.470001220703125,135.8800048828125,49.15999984741211,53.68000030517578,,65.30999755859375,87.5199966430664,93.94000244140625,93.5999984741211,213.0500030517578,425.44000244140625,205.9499969482422,28.010000228881836,416.1499938964844,277.3900146484375,58.04999923706055,36.970001220703125,39.9900016784668,401.7300109863281,464.2300109863281,326.0,157.42999267578125,75.51000213623047,66.79000091552734,855.0,119.38999938964844,50.08000183105469,192.54100036621094,42.0099983215332,254.30999755859375,54.060001373291016,314.4200134277344,174.1999969482422,169.0,303.6199951171875,67.01000213623047,807.1699829101562,158.5,121.58999633789062,68.13999938964844,88.11000061035156,182.1300048828125,71.58999633789062,120.0999984741211,741.280029296875,115.54000091552734,100.69999694824219,131.1699981689453,6.070000171661377,328.6099853515625,143.40199279785156,140.7100067138672,155.30999755859375,50.27000045776367,174.13999938964844,181.10000610351562,304.5199890136719,40.369998931884766,10.770000457763672,176.33999633789062,70.77999877929688,72.02999877929688,121.3949966430664
2022-12-15,136.02999877929688,89.5199966430664,324.5899963378906,165.49000549316406,248.0800018310547,192.22000122070312,95.31999969482422,186.74000549316406,104.0199966430664,66.12000274658203,263.45001220703125,87.47000122070312,245.75,584.260009765625,557.7000122070312,69.23999786376953,282.0400085449219,1952.31005859375,28.579999923706055,160.3800048828125,89.43000030517578,312.7699890136719,34.45000076293945,463.1600036621094,30.235000610351562,114.66999816894531,47.7400016784668,77.80000305175781,31.450000762939453,442.7900085449219,55.61000061035156,77.88700103759766,143.72999572753906,115.77999877929688,121.33000183105469,42.0099983215332,312.1400146484375,41.9900016784668,134.30999755859375,47.47999954223633,52.0099983215332,60.0,61.79999923706055,85.38999938964844,90.43000030517578,90.01000213623047,208.02999877929688,412.9100036621094,202.30999755859375,27.1200008392334,394.239990234375,266.3399963378906,56.220001220703125,36.38999938964844,39.459999084472656,383.25,444.0299987792969,325.0,153.2100067138672,72.52999877929688,65.81999969482422,818.219970703125,114.01000213623047,49.564998626708984,202.08999633789062,39.970001220703125,247.33999633789062,51.849998474121094,286.54998779296875,167.0,164.58999633789062,296.989990234375,63.52000045776367,801.4199829101562,151.32000732421875,116.79000091552734,64.97333526611328,86.12999725341797,178.38999938964844,69.44000244140625,116.08000183105469,728.0800170898438,113.41000366210938,99.44999694824219,127.41999816894531,5.96999979019165,322.3500061035156,142.38999938964844,139.92999267578125,153.27999877929688,46.560001373291016,169.08999633789062,176.10000610351562,307.1400146484375,39.33000183105469,9.949999809265137,174.14999389648438,70.25,69.80999755859375,117.12000274658203
2022-12-16,133.72999572753906,88.55999755859375,337.239990234375,164.07000732421875,244.44000244140625,189.83999633789062,92.80999755859375,193.0,103.55000305175781,64.80000305175781,264.30999755859375,86.7300033569336,238.58999633789062,565.739990234375,550.8699951171875,67.66000366210938,279.07000732421875,1928.010009765625,27.989999771118164,161.4499969482422,85.93000030517578,303.54998779296875,34.060001373291016,456.8800048828125,29.834999084472656,110.76000213623047,47.08000183105469,76.98999786376953,31.06999969482422,439.5400085449219,54.95000076293945,75.94999694824219,142.00999450683594,113.4000015258789,119.9000015258789,40.619998931884766,299.010009765625,40.84000015258789,132.80999755859375,47.220001220703125,51.369998931884766,55.0,58.790000915527344,85.80000305175781,90.01000213623047,89.5199966430664,206.22999572753906,404.8399963378906,198.19000244140625,26.450000762939453,380.54998779296875,261.05999755859375,56.540000915527344,35.45000076293945,39.189998626708984,380.25,438.1300048828125,318.19000244140625,152.44000244140625,71.51000213623047,65.27999877929688,825.0,118.81999969482422,49.209999084472656,190.6199951171875,38.290000915527344,243.50999450683594,51.619998931884766,288.70001220703125,164.10000610351562,161.66000366210938,292.3800048828125,63.52000045776367,800.3800048828125,150.36000061035156,115.05000305175781,64.32666778564453,86.81999969482422,178.47999572753906,68.44999694824219,113.3499984741211,720.5800170898438,112.4000015258789,98.0199966430664,125.9800033569336,5.909999847412109,326.1199951171875,143.77999877929688,138.10000610351562,150.0399932861328,45.310001373291016,167.47999572753906,174.52000427246094,302.8500061035156,38.54999923706055,9.600000381469727,172.94000244140625,68.76000213623047,69.55000305175781,112.55000305175781
